dates,DBABFV,DBABCVC,DBABFCDM,DBABCC,DBABFCEM,DBABVRE,DBABEMT,DBABCM,DBABCVS,DBABRV,DBABVCE,DBABEL,DBABRC,DBABRMB,DBABCR,DBABRRUS,DBABVTE,DBABEEUS,DBABRMI,DBABRREU,SPXT_FUT,EUR,GBP,AUD,NZD,CHF,CAD,SEK,NOK,JPY,EQ_EM,BCOM,US_BOND_10yr
1/19/2000,#N/A N/A,19.0602,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1510.5,83.38737893,99.2478483,106.235354,94.70524733,81.9539502,105.5989383,92.47256366,95.28069538,102.3930343,#N/A N/A,#N/A N/A,#N/A N/A
1/20/2000,#N/A N/A,19.2637,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1498.5,83.66943779,99.77319823,106.5525557,94.72300342,82.3594395,105.9926513,92.72394834,95.60351524,102.2316593,#N/A N/A,#N/A N/A,#N/A N/A
1/21/2000,#N/A N/A,19.1301,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1495.75,83.08779202,99.4727685,106.0859681,94.11516068,81.74666198,106.3773289,92.36418482,95.16060474,102.8890685,#N/A N/A,#N/A N/A,#N/A N/A
1/24/2000,#N/A N/A,19.0928,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1453.5,82.86822401,99.73926406,104.7073627,93.15772522,81.55368599,106.2103322,91.9113122,95.09520063,102.103559,#N/A N/A,#N/A N/A,#N/A N/A
1/25/2000,#N/A N/A,19.1857,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1462.75,82.34429147,99.26376642,104.8809148,93.5064917,80.97763525,106.7673519,91.5737791,94.60782092,101.6353356,#N/A N/A,#N/A N/A,#N/A N/A
1/26/2000,#N/A N/A,19.0881,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1458.25,82.40969632,98.97113983,104.3769935,93.44890112,81.00697576,106.5322289,92.05056674,94.39685953,101.9849351,#N/A N/A,#N/A N/A,#N/A N/A
1/27/2000,#N/A N/A,18.8931,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1454,81.26727864,98.93255418,104.6628581,92.80217364,79.85080319,106.8878659,90.94623562,93.4886588,102.4932301,#N/A N/A,#N/A N/A,#N/A N/A
1/28/2000,#N/A N/A,18.9433,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1410.25,80.15147776,97.75711162,101.6038577,90.51974429,78.96330631,106.0333837,88.33603008,91.7447389,100.5550206,#N/A N/A,#N/A N/A,#N/A N/A
1/31/2000,#N/A N/A,19.293,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1442.75,79.81712266,97.52374601,101.9212297,91.42025016,78.63654715,105.9264979,88.43973007,91.35460385,100.3610997,#N/A N/A,#N/A N/A,#N/A N/A
2/1/2000,#N/A N/A,19.362,#N/A N/A,55.6241,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1459.75,79.84425736,97.45178891,101.1833808,90.8370298,78.65688044,105.8779062,89.22711707,91.91901401,99.85206996,#N/A N/A,#N/A N/A,#N/A N/A
2/2/2000,#N/A N/A,19.2021,#N/A N/A,55.59,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1458.75,80.27098138,97.07721802,102.2202545,91.38560304,78.97719804,106.7723439,89.66716276,92.37496349,99.54876237,#N/A N/A,#N/A N/A,#N/A N/A
2/3/2000,#N/A N/A,19.3562,#N/A N/A,55.5386,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1476.5,81.32584812,96.37698643,101.5570788,90.99822154,80.26275928,106.3787462,91.4658786,92.97538177,100.0884869,#N/A N/A,#N/A N/A,#N/A N/A
2/4/2000,#N/A N/A,19.4122,#N/A N/A,55.5697,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1475.5,80.81071865,96.050812,102.0683838,91.34677822,79.6949542,106.4621794,90.83067081,92.69264536,100.4183289,#N/A N/A,#N/A N/A,#N/A N/A
2/7/2000,#N/A N/A,19.0999,#N/A N/A,55.6458,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1474.25,80.66542046,96.42402112,101.3798222,90.88618072,79.5406068,105.890943,90.85754893,92.31750708,99.08093497,#N/A N/A,#N/A N/A,#N/A N/A
2/8/2000,#N/A N/A,19.0369,#N/A N/A,55.7186,#N/A N/A,#N/A N/A,#N/A N/A,14.5208,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.9153,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1491.75,80.98849307,97.22688083,101.0593007,90.42558648,79.83464336,106.2158376,91.09382539,92.90584766,98.29490154,#N/A N/A,#N/A N/A,#N/A N/A
2/9/2000,#N/A N/A,19.1772,#N/A N/A,55.7162,#N/A N/A,#N/A N/A,#N/A N/A,14.4765,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.8756,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1464.25,81.68681851,97.56735292,101.7780903,90.8664917,80.46747962,106.2328664,91.85447321,93.54206391,98.89239335,#N/A N/A,#N/A N/A,#N/A N/A
2/10/2000,#N/A N/A,19.0836,#N/A N/A,55.739,#N/A N/A,#N/A N/A,#N/A N/A,14.3565,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.7209,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1465,80.95802945,97.13394484,100.2255025,90.00096951,79.87489446,105.9240069,91.17399837,93.04746646,98.4425744,#N/A N/A,#N/A N/A,#N/A N/A
2/11/2000,#N/A N/A,19.2057,#N/A N/A,55.6544,#N/A N/A,#N/A N/A,#N/A N/A,14.4903,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.6584,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1441.25,81.12485031,96.16332951,100.8634902,90.33148207,80.11230247,105.7801232,91.25399258,92.91921856,98.83440256,#N/A N/A,#N/A N/A,#N/A N/A
2/14/2000,#N/A N/A,19.5922,#N/A N/A,55.7718,#N/A N/A,#N/A N/A,#N/A N/A,14.7638,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.6716,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1439.75,80.36318039,95.82616046,100.1899205,89.41096563,79.15431222,105.2892862,90.19104398,92.28912402,98.6917883,#N/A N/A,#N/A N/A,#N/A N/A
2/15/2000,#N/A N/A,19.7978,#N/A N/A,55.8055,#N/A N/A,#N/A N/A,#N/A N/A,14.8433,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.5247,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1452.25,80.62041978,96.30948516,100.8597996,89.76005474,79.51910315,105.3640917,90.06047042,92.03288784,98.44134831,#N/A N/A,#N/A N/A,#N/A N/A
2/16/2000,#N/A N/A,19.9228,#N/A N/A,55.9166,#N/A N/A,#N/A N/A,#N/A N/A,14.9381,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.455,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1438.25,81.00081017,97.01853056,101.0799955,90.64174169,80.03456092,105.6129106,90.63349474,92.6454616,98.22690751,#N/A N/A,#N/A N/A,#N/A N/A
2/17/2000,#N/A N/A,19.7955,#N/A N/A,55.8561,#N/A N/A,#N/A N/A,#N/A N/A,14.8656,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.3563,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1432.75,81.10166082,97.09791594,101.1404611,90.93287332,80.08513427,105.7672622,90.48011818,92.07790188,97.21563044,#N/A N/A,#N/A N/A,#N/A N/A
2/18/2000,#N/A N/A,19.5539,#N/A N/A,55.7338,#N/A N/A,#N/A N/A,#N/A N/A,14.8001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.3924,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1397.75,80.77571063,96.63418136,100.6595521,90.3777652,79.83667052,105.7549422,90.29342267,91.83644117,96.73576644,#N/A N/A,#N/A N/A,#N/A N/A
2/21/2000,#N/A N/A,19.5539,#N/A N/A,55.7338,#N/A N/A,#N/A N/A,#N/A N/A,14.8001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.3924,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1397.75,81.08181109,96.5863561,100.0979508,89.65950755,80.10768661,105.4157504,90.2096099,92.0038542,96.57298589,#N/A N/A,#N/A N/A,#N/A N/A
